record_type,instrument,specimen,source,location,provenance,parameter,value,units_printed,units_si,value_si,band_lo_hz,band_hi_hz,measurement_year,ref_distance_m,discrepancy_db,needs_manual_reading,notes
rossing_table91,cymbal_24in_thin,,Rossing_2000,Table_9.1_p92,primary_source,p1,1.86,dimensionless,dimensionless,1.86,,,2000.0,,,0,n=0 family piecewise Chladni fit
rossing_table91,cymbal_24in_thin,,Rossing_2000,Table_9.1_p92,primary_source,c1,7.7,Hz,Hz,7.7,,,2000.0,,,0,
rossing_table91,cymbal_24in_thin,,Rossing_2000,Table_9.1_p92,primary_source,p2,1.49,dimensionless,dimensionless,1.49,,,2000.0,,,0,
rossing_table91,cymbal_24in_thin,,Rossing_2000,Table_9.1_p92,primary_source,c2,14.2,Hz,Hz,14.2,,,2000.0,,,0,
rossing_table91,cymbal_24in_thin,,Rossing_2000,Table_9.1_p92,primary_source,m_c,6.0,dimensionless,dimensionless,6.0,,,2000.0,,,0,"crossover m between (p1,c1) and (p2,c2)"
rossing_table91,cymbal_18in_thin,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,p1,1.75,dimensionless,dimensionless,1.75,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,c1,10.1,Hz,Hz,10.1,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,p2,1.56,dimensionless,dimensionless,1.56,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,c2,14.1,Hz,Hz,14.1,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,m_c,5.0,dimensionless,dimensionless,5.0,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_b,Rossing_2000,Table_9.1_p92,primary_source,p1,1.78,dimensionless,dimensionless,1.78,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_b,Rossing_2000,Table_9.1_p92,primary_source,c1,10.6,Hz,Hz,10.6,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_b,Rossing_2000,Table_9.1_p92,primary_source,p2,1.52,dimensionless,dimensionless,1.52,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_b,Rossing_2000,Table_9.1_p92,primary_source,c2,15.7,Hz,Hz,15.7,,,2000.0,,,0,
rossing_table91,cymbal_18in_thin,specimen_b,Rossing_2000,Table_9.1_p92,primary_source,m_c,4.5,dimensionless,dimensionless,4.5,,,2000.0,,,0,
rossing_table91,cymbal_18in_medium,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,p1,1.65,dimensionless,dimensionless,1.65,,,2000.0,,,0,
rossing_table91,cymbal_18in_medium,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,c1,13.4,Hz,Hz,13.4,,,2000.0,,,0,
rossing_table91,cymbal_18in_medium,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,p2,1.46,dimensionless,dimensionless,1.46,,,2000.0,,,0,
rossing_table91,cymbal_18in_medium,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,c2,18.2,Hz,Hz,18.2,,,2000.0,,,0,
rossing_table91,cymbal_18in_medium,specimen_a,Rossing_2000,Table_9.1_p92,primary_source,m_c,4.7,dimensionless,dimensionless,4.7,,,2000.0,,,0,
